,mean
Barking and Dagenham,58.133971291866025
Barnet,80.5568065506653
Bexley,49.07142857142857
Brent,81.30264900662252
Bromley,57.835978835978835
Camden,135.00927188437416
City of London,171.25207756232686
Croydon,57.22628726287263
Ealing,80.33709981167608
Enfield,59.375
Greenwich,77.9535747446611
Hackney,89.0369400814427
Hammersmith and Fulham,115.28073535044044
Haringey,80.26634768740031
Harrow,65.89041095890411
Havering,69.06060606060606
Hillingdon,65.32535885167464
Hounslow,89.72964169381108
Islington,108.06350267379679
Kensington and Chelsea,202.8347128815313
Kingston upon Thames,78.27364864864865
Lambeth,90.31677899964527
Lewisham,64.85339168490154
Merton,107.55924170616113
Newham,86.4392523364486
Redbridge,58.32783018867924
Richmond upon Thames,113.2443729903537
Southwark,98.68635170603675
Sutton,51.377245508982035
Tower Hamlets,91.46159667045025
Waltham Forest,69.33249370277078
Wandsworth,111.33242929097248
Westminster,196.993428618367
