,price
Aparthotel,160.2439024390244
Apartment,112.12927216986488
Barn,829.1666666666666
Bed and breakfast,68.54237288135593
Boat,127.70731707317073
Boutique hotel,429.327731092437
Bungalow,63.46666666666667
Bus,30.0
Cabin,82.57894736842105
Camper/RV,65.9375
Casa particular (Cuba),69.82352941176471
Chalet,81.25
Condominium,130.12884333821376
Cottage,95.21666666666667
Dome house,26.0
Earth house,58.625
Farm stay,48.333333333333336
Guest suite,72.48471615720524
Guesthouse,86.73658536585366
Hostel,46.32692307692308
Hotel,379.20512820512823
House,107.36584624734124
Houseboat,106.33333333333333
Hut,43.333333333333336
Island,79.0
Lighthouse,78.0
Loft,118.73258426966292
Nature lodge,175.0
Other,89.5297619047619
Resort,21.0
Ryokan (Japan),35.0
Serviced apartment,188.50512129380053
"Shepherd's hut (U.K., France)",80.0
Tent,50.0
Tiny house,64.41176470588235
Tipi,200.0
Townhouse,117.14696485623003
Treehouse,32.5
Villa,444.4782608695652
Yurt,31.0
Igloo,115.10684899756635
Parking Space,115.10684899756635
